Barrio,Fecha,Mes,Comuna,Tipo_Evento
ALTO AGUACATAL,04/19/2017 12:00:00 AM,ABRIL,1,Deslizamiento
ALTO AGUACATAL,04/19/2017 12:00:00 AM,ABRIL,1,Deslizamiento
ALTO AGUACATAL,04/20/2017 12:00:00 AM,ABRIL,1,Deslizamiento
ALTO AGUACATAL,04/20/2017 12:00:00 AM,ABRIL,1,Deslizamiento
ALTO AGUACATAL,04/20/2017 12:00:00 AM,ABRIL,1,Deslizamiento
ALTO AGUACATAL,07/01/2017 12:00:00 AM,JULIO,1,Deslizamiento
ALTO AGUACATAL,07/01/2017 12:00:00 AM,JULIO,1,Deslizamiento
ALTO NAPOLES,07/01/2017 12:00:00 AM,JULIO,18,Deslizamiento
ALTO NAPOLES,07/01/2017 12:00:00 AM,JULIO,18,Deslizamiento
ALTO NAPOLES,11/18/2017 12:00:00 AM,NOVIEMBRE,18,Deslizamiento
ALTO NAPOLES,11/18/2017 12:00:00 AM,NOVIEMBRE,18,Deslizamiento
bajo palermo,06/06/2017 12:00:00 AM,JUNIO,1,Deslizamiento
BRISAS DE MAYO,07/01/2017 12:00:00 AM,JULIO,20,Deslizamiento
BRISAS DE MAYO,11/22/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
BRISAS DE MAYO,11/22/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
BRISAS DE MAYO,11/22/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
BRISAS DE MAYO,11/22/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
BRISAS DE MAYO,11/22/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
CORREGIMIENTO LA BUITRERA,12/31/2017 12:00:00 AM,DICIEMBRE,54,Deslizamiento
FELIDIA,04/14/2017 12:00:00 AM,ABRIL,2,Deslizamiento
FELIDIA,04/14/2017 12:00:00 AM,ABRIL,2,Deslizamiento
FELIDIA,04/15/2017 12:00:00 AM,ABRIL,2,Deslizamiento
FELIDIA,04/14/2017 12:00:00 AM,ABRIL,2,Deslizamiento
FELIDIA,04/14/2017 12:00:00 AM,ABRIL,2,Deslizamiento
FELIDIA,04/14/2017 12:00:00 AM,ABRIL,2,Deslizamiento
FELIDIA,04/14/2017 12:00:00 AM,ABRIL,2,Deslizamiento
FELIDIA,04/14/2017 12:00:00 AM,ABRIL,2,Deslizamiento
FELIDIA,04/14/2017 12:00:00 AM,ABRIL,2,Deslizamiento
LA SIRENA,11/23/2017 12:00:00 AM,NOVIEMBRE,18,Deslizamiento
LA SULTANA,11/22/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
LA SULTANA,11/22/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
LA SULTANA,11/22/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
LA SULTANA,11/22/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
LA SULTANA,11/22/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
LAS ORQUIDEAS,08/24/2017 12:00:00 AM,AGOSTO,14,Deslizamiento
LLERAS CAMARGO,04/25/2017 12:00:00 AM,ABRIL,20,Deslizamiento
LLERAS CAMARGO,04/25/2017 12:00:00 AM,ABRIL,20,Deslizamiento
LLERAS CAMARGO,04/25/2017 12:00:00 AM,ABRIL,20,Deslizamiento
LLERAS CAMARGO,06/02/2017 12:00:00 AM,JUNIO,20,Deslizamiento
LLERAS CAMARGO,11/03/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
LLERAS CAMARGO,11/15/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
LOS CHORROS,11/18/2017 12:00:00 AM,NOVIEMBRE,18,Deslizamiento
LOS CHORROS,11/18/2017 12:00:00 AM,NOVIEMBRE,18,Deslizamiento
LOS CHORROS,11/18/2017 12:00:00 AM,NOVIEMBRE,18,Deslizamiento
NAPOLES,05/08/2017 12:00:00 AM,MAYO,18,Deslizamiento
PALMAS 2,05/08/2017 12:00:00 AM,MAYO,1,Deslizamiento
PUEBLO PANCE,07/02/2017 12:00:00 AM,JULIO,22,Deslizamiento
PUEBLO PANCE,08/10/2017 12:00:00 AM,AGOSTO,22,Deslizamiento
SECTOR ALTO JORDAN,06/02/2017 12:00:00 AM,JUNIO,18,Deslizamiento
SILOE,05/08/2017 12:00:00 AM,MAYO,20,Deslizamiento
SILOE,05/08/2017 12:00:00 AM,MAYO,20,Deslizamiento
SILOE,05/08/2017 12:00:00 AM,MAYO,20,Deslizamiento
SILOE,05/08/2017 12:00:00 AM,MAYO,20,Deslizamiento
SILOE,05/26/2017 12:00:00 AM,MAYO,20,Deslizamiento
SILOE,05/26/2017 12:00:00 AM,MAYO,20,Deslizamiento
SILOE,05/22/2017 12:00:00 AM,MAYO,20,Deslizamiento
SILOE,05/26/2017 12:00:00 AM,MAYO,20,Deslizamiento
SILOE,04/20/2017 12:00:00 AM,ABRIL,20,Deslizamiento
SILOE,04/20/2017 12:00:00 AM,ABRIL,20,Deslizamiento
SILOE,04/20/2017 12:00:00 AM,ABRIL,20,Deslizamiento
SILOE,04/26/2017 12:00:00 AM,ABRIL,20,Deslizamiento
SILOE,05/26/2017 12:00:00 AM,MAYO,20,Deslizamiento
SILOE,07/01/2017 12:00:00 AM,JULIO,20,Deslizamiento
SILOE,06/02/2017 12:00:00 AM,JUNIO,20,Deslizamiento
SILOE,09/26/2017 12:00:00 AM,SEPTIEMBRE,20,Deslizamiento
SILOE,09/26/2017 12:00:00 AM,SEPTIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/25/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/18/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/18/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/16/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/16/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/17/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/17/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/15/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/15/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/15/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,11/15/2017 12:00:00 AM,NOVIEMBRE,20,Deslizamiento
SILOE,09/26/2017 12:00:00 AM,SEPTIEMBRE,20,Deslizamiento
SILOE,09/29/2017 12:00:00 AM,SEPTIEMBRE,20,Deslizamiento
TIERRA BLANCA,07/08/2017 12:00:00 AM,JULIO,20,Deslizamiento
AGUA BLANCA,07/20/2017 12:00:00 AM,JULIO,11,Incendio
ALFONSO BONILLA ARAGON,06/15/2017 12:00:00 AM,JUNIO,14,Incendio
ALFONZO LOPEZ 1,09/12/2017 12:00:00 AM,SEPTIEMBRE,7,Incendio
ALFONZO LOPEZ 3,07/21/2017 12:00:00 AM,JULIO,7,Incendio
BOLIVARIANO,07/08/2017 12:00:00 AM,JULIO,4,Incendio
BOLIVARIANO,07/08/2017 12:00:00 AM,JULIO,4,Incendio
BRISAS DE COMUNEROS,07/08/2017 12:00:00 AM,JULIO,15,Incendio
BRISAS DEL CAUCA - SECTOR LA FINCA,08/27/2017 12:00:00 AM,AGOSTO,7,Incendio
BRISAS DEL CAUCA - SECTOR LA FINCA,08/27/2017 12:00:00 AM,AGOSTO,7,Incendio
BRISAS DEL CAUCA - SECTOR LA FINCA,08/27/2017 12:00:00 AM,AGOSTO,7,Incendio
BRISAS DEL CAUCA - SECTOR LA FINCA,08/27/2017 12:00:00 AM,AGOSTO,7,Incendio
BRISAS DEL CAUCA - SECTOR LA FINCA,08/27/2017 12:00:00 AM,AGOSTO,7,Incendio
