Fecha,Inundacion
2017-03-06,1
2017-03-07,1
2017-03-08,1
2017-03-09,1
2017-03-13,1
2017-03-25,1
2017-03-26,1
2017-03-30,1
2017-03-31,1
2017-04-08,1
2017-04-09,1
2017-04-13,1
2017-04-17,1
2017-04-19,1
2017-04-25,1
2017-04-26,1
2017-05-06,1
2017-05-07,1
2017-05-11,1
2017-05-13,1
2017-05-14,1
2017-05-15,1
2017-05-16,1
2017-05-17,1
2017-05-19,1
2017-05-20,1
2017-06-12,1
2017-06-30,1
2017-08-11,1
2017-09-14,1
2017-09-25,1
2017-10-04,1
2017-10-23,1
2017-10-27,1
2017-11-14,1
2017-11-15,1
2017-11-16,1
2017-11-17,1
2017-12-28,1
2017-12-30,1
2017-12-31,1
2018-01-01,1
2018-01-14,1
2018-02-10,1
2018-03-19,1
2018-03-20,1
2018-03-29,1
2018-03-30,1
2018-03-31,1
2018-04-03,1
2018-04-09,1
2018-04-12,1
2018-04-13,1
2018-04-17,1
2018-04-18,1
2018-05-06,1
2018-05-10,1
2018-05-25,1
2018-06-10,1
2018-10-29,1
2018-11-27,1
2018-12-06,1
2019-03-14,1
2019-03-19,1
2019-03-22,1
2019-03-29,1
2019-04-02,1
2019-04-03,1
2019-04-04,1
2019-04-17,1
2019-04-21,1
2019-04-26,1
2019-05-10,1
2019-05-17,1
2019-06-06,1
2019-06-07,1
2019-09-18,1
2019-09-19,1
2019-10-12,1
2019-10-16,1
2019-11-12,1
2019-12-31,1
2020-01-27,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-03-13,1
2020-04-11,1
2020-05-21,1
2020-06-02,1
2020-06-10,1
